Zeit	Geschwindigkeit	Strecke seit 0.500000	Strecke
0.000000	19.603289	9.801645	9.801645	
0.500000	39.206579	19.603289	29.404934	
1.000000	58.809868	29.404934	58.809868	
1.500000	78.413157	39.206579	98.016447	
2.000000	98.016447	49.008223	147.024670	
2.500000	117.619736	58.809868	205.834538	
3.000000	137.223025	68.611513	274.446051	
3.500000	156.826315	78.413157	352.859208	
4.000000	176.429604	88.214802	441.074010	
4.500000	196.032894	98.016447	539.090457	
5.000000	215.636183	107.818091	646.908549	
5.500000	235.239472	117.619736	764.528285	
6.000000	254.842762	127.421381	891.949666	
6.500000	274.446051	137.223025	1029.172691	
7.000000	294.049340	147.024670	1176.197361	
7.500000	313.652630	156.826315	1333.023676	
8.000000	333.255919	166.627960	1499.651636	
8.500000	352.859208	176.429604	1676.081240	
9.000000	372.462498	186.231249	1862.312489	
9.500000	392.065787	196.032894	2058.345382	
10.000000	411.669076	205.834538	2264.179920	
10.500000	431.272366	215.636183	2479.816103	
11.000000	450.875655	225.437828	2705.253931	
11.500000	470.478944	235.239472	2940.493403	
12.000000	490.082234	245.041117	3185.534520	
12.500000	509.685523	254.842762	3440.377281	
13.000000	529.288813	264.644406	3705.021688	
13.500000	548.892102	274.446051	3979.467739	
14.000000	568.495391	284.247696	4263.715434	
14.500000	588.098681	294.049340	4557.764775	
15.000000	607.701970	303.850985	4861.615760	
15.500000	627.305259	313.652630	5175.268389	
16.000000	646.908549	323.454274	5498.722664	
16.500000	666.511838	333.255919	5831.978583	
17.000000	686.115127	343.057564	6175.036146	
17.500000	705.718417	352.859208	6527.895355	
18.000000	725.321706	362.660853	6890.556208	
18.500000	744.924995	372.462498	7263.018705	
19.000000	764.528285	382.264142	7645.282848	
19.500000	784.131574	392.065787	8037.348635	
20.000000	803.734863	401.867432	8439.216067	
20.500000	823.338153	411.669076	8850.885143	
21.000000	842.941442	421.470721	9272.355864	
21.500000	862.544732	431.272366	9703.628230	
22.000000	882.148021	441.074010	10144.702240	
22.500000	901.751310	450.875655	10595.577895	
23.000000	921.354600	460.677300	11056.255195	
23.500000	940.957889	470.478944	11526.734140	
24.000000	960.561178	480.280589	12007.014729	
24.500000	980.164468	490.082234	12497.096963	
25.000000	999.767757	499.883879	12996.980841	
25.500000	1019.371046	509.685523	13506.666364	
26.000000	1038.974336	519.487168	14026.153532	
26.500000	1058.577625	529.288813	14555.442345	
27.000000	1078.180914	539.090457	15094.532802	
27.500000	1097.784204	548.892102	15643.424904	
28.000000	1117.387493	558.693747	16202.118650	
28.500000	1136.990782	568.495391	16770.614042	
29.000000	1156.594072	578.297036	17348.911078	
29.500000	1176.197361	588.098681	17937.009758	
30.000000	1195.800651	597.900325	18534.910084	
30.500000	1215.403940	607.701970	19142.612053	
31.000000	1235.007229	617.503615	19760.115668	
31.500000	1254.610519	627.305259	20387.420927	
32.000000	1274.213808	637.106904	21024.527831	
32.500000	1293.817097	646.908549	21671.436380	
33.000000	1313.420387	656.710193	22328.146573	
33.500000	1333.023676	666.511838	22994.658411	
34.000000	1352.626965	676.313483	23670.971894	
34.500000	1372.230255	686.115127	24357.087021	
35.000000	1391.833544	695.916772	25053.003793	
35.500000	1411.436833	705.718417	25758.722210	
36.000000	1431.040123	715.520061	26474.242272	
36.500000	1450.643412	725.321706	27199.563978	
37.000000	1470.246701	735.123351	27934.687328	
37.500000	1489.849991	744.924995	28679.612324	
38.000000	1509.453280	754.726640	29434.338964	
38.500000	1529.056570	764.528285	30198.867249	
39.000000	1548.659859	774.329929	30973.197178	
39.500000	1568.263148	784.131574	31757.328752	
40.000000	1587.866438	793.933219	32551.261971	
40.500000	1607.469727	803.734863	33354.996835	
41.000000	1627.073016	813.536508	34168.533343	
41.500000	1646.676306	823.338153	34991.871496	
42.000000	1666.279595	833.139798	35825.011293	
42.500000	1685.882884	842.941442	36667.952735	
43.000000	1705.486174	852.743087	37520.695822	
43.500000	1725.089463	862.544732	38383.240554	
44.000000	1744.692752	872.346376	39255.586930	
44.500000	1764.296042	882.148021	40137.734951	
45.000000	1783.899331	891.949666	41029.684616	
45.500000	1803.502621	901.751310	41931.435927	
46.000000	1823.105910	911.552955	42842.988882	
46.500000	1842.709199	921.354600	43764.343481	
47.000000	1862.312489	931.156244	44695.499725	
47.500000	1881.915778	940.957889	45636.457614	
48.000000	1901.519067	950.759534	46587.217148	
48.500000	1921.122357	960.561178	47547.778326	
49.000000	1940.725646	970.362823	48518.141149	
49.500000	1960.328935	980.164468	49498.305617	
50.000000	1979.932225	989.966112	50488.271729	
50.500000	1999.535514	999.767757	51488.039486	
51.000000	2019.138803	1009.569402	52497.608888	
51.500000	2038.742093	1019.371046	53516.979934	
52.000000	2058.345382	1029.172691	54546.152625	
52.500000	2077.948671	1038.974336	55585.126961	
53.000000	2097.551961	1048.775980	56633.902942	
53.500000	2117.155250	1058.577625	57692.480567	
54.000000	2136.758540	1068.379270	58760.859836	
54.500000	2156.361829	1078.180914	59839.040751	
55.000000	2175.965118	1087.982559	60927.023310	
55.500000	2195.568408	1097.784204	62024.807514	
56.000000	2215.171697	1107.585848	63132.393362	
56.500000	2234.774986	1117.387493	64249.780855	
57.000000	2254.378276	1127.189138	65376.969993	
57.500000	2273.981565	1136.990782	66513.960776	
58.000000	2293.584854	1146.792427	67660.753203	
58.500000	2313.188144	1156.594072	68817.347275	
59.000000	2332.791433	1166.395717	69983.742991	
59.500000	2352.394722	1176.197361	71159.940352	
