t[s]	vy[m2/s]	x[m]	y[m]
0.000000	12.124303	0.000000	0.000000
0.100000	11.143303	0.700009	1.114330
0.200000	10.162303	1.400018	2.130561
0.300000	9.181303	2.100028	3.048691
0.400000	8.200303	2.800037	3.868721
0.500000	7.219303	3.500046	4.590652
0.600000	6.238303	4.200055	5.214482
0.700000	5.257303	4.900064	5.740212
0.800000	4.276303	5.600074	6.167842
0.900000	3.295303	6.300083	6.497373
1.000000	2.314303	7.000093	6.728803
1.100000	1.333303	7.700102	6.862134
1.200000	0.352303	8.400111	6.897364
1.300000	-0.628697	9.100121	6.834494
1.400000	-1.609697	9.800130	6.673524
1.500000	-2.590697	10.500139	6.414455
1.600000	-3.571697	11.200149	6.057285
1.700000	-4.552697	11.900158	5.602015
1.800000	-5.533697	12.600167	5.048646
1.900000	-6.514697	13.300177	4.397176
2.000000	-7.495697	14.000186	3.647607
2.100000	-8.476697	14.700195	2.799937
2.200000	-9.457697	15.400205	1.854167
2.300000	-10.438697	16.100214	0.810298
